decade,artist,song,popularity,rank_in_decade
1990s,Dr. Dre,The Next Episode,82,1
1990s,blink-182,All The Small Things,79,2
1990s,Dr. Dre,Forgot About Dre,79,2
1990s,Red Hot Chili Peppers,Otherside,78,4
1990s,Destiny's Child,Say My Name,75,5
1990s,Dido,Thank You,73,6
1990s,DMX,Party Up,71,7
1990s,Wheatus,Teenage Dirtbag,71,7
1990s,Crazy Town,Butterfly,71,7
1990s,Destiny's Child,"Jumpin', Jumpin'",70,10
1990s,Sisqo,Thong Song,69,11
1990s,JAY-Z,Big Pimpin',69,11
1990s,Creed,Higher,69,11
1990s,Backstreet Boys,Show Me the Meaning of Being Lonely,68,14
1990s,Faith Hill,Breathe,66,15
1990s,Santana,Maria Maria (feat. The Product G&B),66,15
1990s,Tom Jones,Sexbomb,65,17
1990s,Anastacia,I'm Outta Love - Radio Edit,64,18
1990s,Gigi D'Agostino,The Riddle,64,18
1990s,Céline Dion,That's the Way It Is,64,18
1990s,Creed,With Arms Wide Open,64,18
1990s,Christina Aguilera,Come on over Baby (All I Want Is You) - Radio Version,64,18
1990s,Donell Jones,"U Know What's Up (feat. Lisa ""Left Eye"" Lopes)",63,23
1990s,Sting,Desert Rose,62,24
1990s,Melanie C,Never Be The Same Again,61,25
1990s,Christina Aguilera,I Turn to You,61,25
1990s,Sisqo,Incomplete,60,27
1990s,Montell Jordan,Get It On Tonite,59,28
1990s,Mariah Carey,Thank God I Found You (feat. Joe & 98°),59,28
1990s,Britney Spears,Born to Make You Happy,58,30
1990s,Donell Jones,Where I Wanna Be,57,31
1990s,Eiffel 65,Move Your Body - Gabry Ponte Original Radio Edit,56,32
1990s,Madison Avenue,Don't Call Me Baby,56,32
1990s,Marc Anthony,You Sang To Me,56,32
1990s,Anastacia,Sick and Tired,56,32
1990s,Melanie C,I Turn To You,54,36
1990s,Enrique Iglesias,Be With You,54,36
1990s,Savage Garden,Crash and Burn,54,36
1990s,Missy Elliott,Hot Boyz,49,39
2000s,Eminem,Without Me,87,1
2000s,Eminem,The Real Slim Shady,86,2
2000s,Eminem,'Till I Collapse,85,3
2000s,Linkin Park,In the End,83,4
2000s,Eminem,Stan,83,4
2000s,Linkin Park,In the End,83,4
2000s,Outkast,Ms. Jackson,82,7
2000s,Gorillaz,Feel Good Inc.,82,7
2000s,Shakira,Hips Don't Lie (feat. Wyclef Jean),82,7
2000s,Nelly Furtado,Promiscuous,82,7
2000s,Kanye West,Heartless,82,7
2000s,JAY-Z,Empire State Of Mind,82,7
2000s,50 Cent,In Da Club,81,13
2000s,Usher,Yeah! (feat. Lil Jon & Ludacris),81,13
2000s,Britney Spears,Toxic,81,13
2000s,Linkin Park,Numb,81,13
2000s,Rihanna,Umbrella,81,13
2000s,Nelly Furtado,Say It Right,81,13
2000s,Red Hot Chili Peppers,Can't Stop,80,19
2000s,Outkast,Hey Ya!,80,19
2000s,Kanye West,All Falls Down,80,19
2000s,Timbaland,The Way I Are,80,19
2000s,My Chemical Romance,Teenagers,80,19
2000s,Flo Rida,Low (feat. T-Pain),80,19
2000s,Coldplay,Viva La Vida,80,19
2000s,Kings of Leon,Sex on Fire,80,19
2000s,Black Eyed Peas,I Gotta Feeling,80,19
2000s,Lady Gaga,Bad Romance,80,19
2000s,Kings of Leon,Sex on Fire,80,19
2000s,Lady Gaga,Bad Romance,80,19
2000s,Coldplay,Clocks,79,31
2000s,Evanescence,Bring Me To Life,79,31
2000s,Coldplay,Clocks,79,31
2000s,Hoobastank,The Reason,79,31
2000s,50 Cent,Candy Shop,79,31
2000s,Nelly Furtado,Maneater,79,31
2000s,The Fray,How to Save a Life,79,31
2000s,Britney Spears,Gimme More,79,31
2000s,Red Hot Chili Peppers,Snow (Hey Oh),79,31
2000s,Miley Cyrus,Party In The U.S.A.,79,31
2000s,Bon Jovi,It's My Life,78,41
2000s,3 Doors Down,Kryptonite,78,41
2000s,Jimmy Eat World,The Middle,78,41
2000s,Nickelback,How You Remind Me,78,41
2000s,Avril Lavigne,Complicated,78,41
2000s,Kanye West,Gold Digger,78,41
2000s,Sean Paul,Temperature,78,41
2000s,Justin Timberlake,SexyBack (feat. Timbaland),78,41
2000s,Plain White T's,Hey There Delilah,78,41
2000s,Foo Fighters,The Pretender,78,41
2000s,Sean Kingston,Beautiful Girls,78,41
2000s,The Offspring,"You're Gonna Go Far, Kid",78,41
2000s,Estelle,American Boy,78,41
2000s,Owl City,Fireflies,78,41
2000s,Britney Spears,Oops!...I Did It Again,77,55
2000s,Modjo,Lady - Hear Me Tonight,77,55
2000s,Train,Drops of Jupiter (Tell Me),77,55
2000s,Nelly,Dilemma,77,55
2000s,Eminem,"Lose Yourself - From ""8 Mile"" Soundtrack",77,55
2000s,Maroon 5,This Love,77,55
2000s,Franz Ferdinand,Take Me Out,77,55
2000s,Green Day,American Idiot,77,55
2000s,Rihanna,Pon de Replay,77,55
2000s,The Game,Hate It Or Love It,77,55
2000s,Eminem,Mockingbird,77,55
2000s,Linkin Park,What I've Done,77,55
2000s,Alicia Keys,No One,77,55
2000s,Rihanna,Don't Stop The Music,77,55
2000s,MGMT,Kids,77,55
2000s,Lady Gaga,Poker Face,77,55
2000s,Empire of the Sun,Walking On A Dream,77,55
2000s,Shaggy,It Wasn't Me,76,72
2000s,Mary J. Blige,Family Affair,76,72
2000s,Daft Punk,One More Time,76,72
2000s,Beyoncé,Crazy In Love (feat. Jay-Z),76,72
2000s,50 Cent,P.I.M.P.,76,72
2000s,Justin Timberlake,Rock Your Body,76,72
2000s,Kanye West,Through The Wire,76,72
2000s,Usher,My Boo,76,72
2000s,50 Cent,Just A Lil Bit,76,72
2000s,JAY-Z,Numb / Encore,76,72
2000s,Foo Fighters,Best of You,76,72
2000s,Red Hot Chili Peppers,Dani California,76,72
2000s,My Chemical Romance,Welcome to the Black Parade,76,72
2000s,Fergie,Big Girls Don't Cry (Personal),76,72
