year,genre,song_count,avg_popularity
1998,"hip hop, pop, R&B",1,49.0
1999,pop,11,62.0
1999,"pop, R&B",5,64.8
1999,"hip hop, pop, R&B",3,62.67
1999,hip hop,3,76.67
1999,"rock, pop",2,70.5
1999,"pop, rock, metal",2,66.5
1999,"pop, latin",2,55.0
1999,"pop, Dance/Electronic",2,57.5
1999,set(),1,71.0
1999,"rock, metal",1,71.0
1999,"rock, blues, latin",1,66.0
1999,"rock, Folk/Acoustic, easy listening",1,65.0
1999,rock,1,78.0
1999,"pop, country",1,66.0
1999,"hip hop, pop",1,71.0
1999,Dance/Electronic,1,56.0
2000,pop,16,61.94
2000,"pop, R&B",11,51.09
2000,"hip hop, pop, R&B",10,58.8
2000,"pop, rock",4,59.75
2000,"pop, Dance/Electronic",4,54.25
2000,"hip hop, pop",4,67.25
2000,hip hop,4,70.5
2000,"rock, metal",3,81.33
2000,R&B,3,60.33
2000,"pop, rock, metal",2,69.5
2000,metal,2,72.5
2000,"hip hop, pop, latin",2,1.0
2000,"rock, pop, metal",1,49.0
2000,"rock, pop",1,68.0
2000,rock,1,56.0
2000,"pop, latin",1,60.0
2000,"pop, Folk/Acoustic",1,68.0
2000,"hip hop, R&B",1,54.0
2000,"World/Traditional, Folk/Acoustic",1,69.0
2000,"Folk/Acoustic, rock",1,0.0
2000,Dance/Electronic,1,50.0
2001,pop,25,60.44
2001,"hip hop, pop, R&B",19,58.58
2001,"pop, R&B",18,59.0
2001,"hip hop, pop",7,59.14
2001,"rock, metal",6,70.0
2001,"pop, Dance/Electronic",6,51.5
2001,"rock, pop",5,44.6
2001,Dance/Electronic,5,59.4
2001,hip hop,4,65.5
2001,"pop, latin",3,64.67
2001,"pop, country",3,62.0
2001,"pop, rock",2,56.0
2001,"rock, pop, metal",1,40.0
2001,"pop, rock, metal",1,69.0
2001,"pop, Folk/Acoustic",1,60.0
2001,"hip hop, pop, rock",1,68.0
2001,"hip hop, Dance/Electronic",1,76.0
2002,"hip hop, pop, R&B",27,56.26
2002,pop,19,64.58
2002,"hip hop, pop",11,63.0
2002,hip hop,8,70.25
2002,"pop, R&B",5,55.0
2002,"rock, pop",3,76.67
2002,"rock, metal",3,71.67
2002,"pop, rock",3,59.67
2002,rock,2,76.5
2002,"pop, rock, metal",2,70.5
2002,"pop, Dance/Electronic",2,58.0
2002,set(),1,66.0
2002,"rock, easy listening",1,60.0
2002,"pop, Folk/Acoustic",1,57.0
2002,"Folk/Acoustic, pop",1,75.0
2002,Dance/Electronic,1,48.0
2003,"hip hop, pop",18,63.28
2003,"pop, R&B",17,57.88
