danceability_bucket,energy_bucket,valence_bucket,song_count,avg_popularity
0.6,0.3,0.4,1,83.0
0.8,0.3,0.3,1,83.0
0.6,0.4,0.2,3,82.33
0.7,0.7,1.0,1,82.0
0.8,1.0,0.9,1,82.0
0.9,0.9,0.3,1,82.0
0.8,0.4,0.6,1,81.0
0.6,0.3,0.1,2,80.0
0.9,0.4,0.3,1,80.0
0.5,0.7,0.1,1,79.0
0.6,0.8,1.0,1,79.0
0.7,0.3,0.3,2,79.0
0.7,0.3,0.5,1,79.0
0.9,1.0,0.7,1,79.0
1.0,0.3,0.6,1,79.0
0.4,0.3,0.1,3,78.33
1.0,0.6,0.8,1,78.0
1.0,0.6,1.0,1,78.0
0.8,0.4,0.4,2,77.5
0.4,0.8,0.7,3,77.33
0.3,0.4,0.1,1,77.0
0.3,0.7,0.5,1,77.0
0.4,0.7,0.6,1,77.0
0.4,1.0,0.8,1,77.0
0.7,0.9,0.2,1,77.0
0.5,0.6,0.1,2,76.5
0.5,0.6,0.2,4,76.5
0.9,0.6,0.3,2,76.5
0.6,0.8,0.9,3,76.33
0.2,0.9,0.2,1,76.0
0.4,0.4,0.4,1,76.0
0.4,0.5,0.1,2,76.0
0.4,0.6,0.7,1,76.0
0.9,0.4,0.2,3,75.67
0.4,0.3,0.3,2,75.5
0.8,0.4,0.3,2,75.5
0.4,0.9,0.3,1,75.0
0.5,0.3,0.4,1,75.0
0.7,1.0,0.9,1,75.0
0.7,0.8,0.2,3,74.67
0.8,0.7,1.0,3,74.67
0.3,0.7,0.4,2,74.5
0.5,0.6,0.8,1,74.0
0.5,0.7,0.4,4,74.0
0.5,1.0,0.4,1,74.0
0.6,0.5,0.2,4,74.0
0.9,0.3,0.4,1,74.0
0.9,0.6,0.9,3,74.0
1.0,0.6,0.5,1,74.0
0.8,0.7,0.4,12,73.75
0.3,0.6,0.3,2,73.5
0.5,0.9,0.2,4,73.5
0.4,0.8,0.8,1,73.0
0.5,1.0,0.2,1,73.0
0.8,0.6,1.0,1,73.0
0.9,0.7,0.4,2,72.5
0.2,0.3,0.1,1,72.0
0.9,0.7,0.2,1,72.0
0.8,0.5,0.9,4,71.75
0.9,0.5,0.2,3,71.67
0.5,0.6,0.4,4,71.5
0.8,0.5,0.8,2,71.5
0.9,0.6,1.0,2,71.5
0.5,0.4,0.1,1,71.0
0.5,0.4,0.4,2,71.0
0.6,0.1,0.2,1,71.0
0.7,0.3,0.1,2,71.0
0.4,0.9,0.4,3,70.67
0.8,0.6,0.5,9,70.67
0.5,1.0,0.8,2,70.5
0.3,0.9,0.3,4,70.0
0.5,0.4,0.2,1,70.0
0.7,1.0,0.6,1,70.0
0.8,0.8,0.1,1,70.0
0.9,0.4,0.8,2,69.5
0.9,0.6,0.6,10,69.4
0.8,0.5,0.1,3,69.33
0.7,0.5,0.6,4,69.25
0.3,0.3,0.1,2,69.0
0.4,0.2,0.2,1,69.0
0.6,0.6,0.1,5,69.0
0.6,0.8,0.1,2,69.0
0.9,0.7,0.6,6,68.83
0.3,0.6,0.1,2,68.5
0.4,0.6,0.1,2,68.5
0.5,0.5,0.5,2,68.5
0.7,0.4,0.3,2,68.5
0.7,0.4,0.6,2,68.5
0.4,1.0,0.4,3,68.33
0.8,0.3,0.8,1,68.0
0.9,0.9,0.4,1,68.0
0.6,0.5,0.5,4,67.25
0.6,0.6,0.2,5,67.2
0.7,0.7,0.4,17,67.12
0.2,0.5,0.3,1,67.0
0.3,0.7,0.3,2,67.0
0.4,0.6,0.3,1,67.0
0.4,0.9,0.7,4,67.0
0.4,1.0,0.5,1,67.0
