artist,song,year,decade,genre,popularity,danceability,energy,valence,tempo,loudness_norm,hit_formula_score
Gwen Stefani,Hollaback Girl,2004,2000s,"pop, R&B",69,0.926,0.916,0.904,110.007,0.9038936653819547,0.8782
Madonna,Give It 2 Me,2008,2000s,pop,57,0.837,0.954,0.972,127.019,0.8401027769542444,0.8735
JLS,Beat Again - Radio Edit,2009,2000s,pop,0,0.894,0.93,0.968,120.02,0.787478999901176,0.8724
Keyshia Cole,Last Night,2007,2000s,"hip hop, pop, R&B",60,0.918,0.857,0.972,121.006,0.7649965411601937,0.8593
Mis-Teeq,All I Want - Sunship Radio Edit,2004,2000s,"pop, Dance/Electronic",46,0.795,0.919,0.96,134.079,0.8619428797311988,0.8566
P!nk,Get the Party Started,2001,2000s,pop,68,0.802,0.903,0.96,128.93,0.8522087162763119,0.8506
The Roots,The Seed (2.0),2002,2000s,hip hop,63,0.758,0.957,0.966,111.121,0.9009289455479791,0.8505
Meghan Trainor,All About That Bass,2015,2010s,pop,72,0.807,0.887,0.961,134.052,0.8295286095463978,0.8475
Madison Avenue,Don't Call Me Baby,1999,1990s,Dance/Electronic,56,0.808,0.982,0.961,124.999,0.6881114734657574,0.8458
The Ting Tings,That's Not My Name,2008,2000s,"pop, rock, Dance/Electronic",51,0.755,0.901,0.959,145.042,0.8578910959580985,0.8448
Kelis,Trick Me,2003,2000s,"pop, R&B, Dance/Electronic",63,0.97,0.72,0.962,107.17,0.8482557564976776,0.8442
Christina Milian,When You Look At Me - Radio Edit,2001,2000s,"hip hop, pop, R&B",60,0.955,0.839,0.825,108.955,0.8456863326415653,0.8426
Rachel Stevens,Sweet Dreams My LA Ex - Radio Edit,2003,2000s,"pop, Dance/Electronic",38,0.85,0.862,0.908,130.036,0.8363968771617749,0.8426
Bob Sinclar,Rock This Party - Everybody Dance Now,2006,2000s,"pop, Dance/Electronic",69,0.893,0.823,0.902,128.009,0.8304180254965905,0.8426
Sugababes,Hole In The Head,2003,2000s,"pop, R&B",57,0.785,0.933,0.962,125.011,0.7849095760450637,0.8414
Crazy Frog,Axel F,2005,2000s,pop,67,0.86,0.907,0.786,138.045,0.8495404684257337,0.8384
Britney Spears,I'm a Slave 4 U,2001,2000s,pop,69,0.847,0.843,0.963,110.027,0.8367921731396383,0.838
The Ting Tings,Shut Up and Let Me Go,2007,2000s,"pop, rock, Dance/Electronic",55,0.852,0.927,0.887,107.993,0.7914319596798103,0.8375
Sean Paul,We Be Burnin',2005,2000s,"hip hop, pop",59,0.95,0.803,0.86,117.0,0.8063543828441545,0.8372
La Roux,In For The Kill,2009,2000s,"pop, Dance/Electronic",59,0.629,0.969,0.905,150.01,1.0,0.837
Pitbull,Don't Stop the Party (feat. TJR),2012,2010s,"hip hop, pop, latin",64,0.722,0.958,0.952,127.008,0.8349145172447869,0.8352
Duffy,Mercy,2008,2000s,"pop, R&B",69,0.793,0.859,0.964,129.911,0.8271568336792172,0.8345
Shawn Mendes,There's Nothing Holdin' Me Back,2017,2010s,pop,0,0.857,0.8,0.966,121.996,0.814260302401423,0.8334
JAY-Z,Big Pimpin',1999,1990s,hip hop,69,0.88,0.814,0.942,138.083,0.7019962446882103,0.8302
Tom Jones,Sexbomb,1999,1990s,"rock, Folk/Acoustic, easy listening",65,0.801,0.876,0.932,122.979,0.8189544421385512,0.83
September,Cry for You,2007,2000s,"pop, Dance/Electronic",65,0.767,0.881,0.961,130.018,0.8165826662713707,0.83
September,Cry for You,2007,2000s,"pop, Dance/Electronic",65,0.767,0.881,0.961,130.018,0.8165826662713707,0.83
Outkast,Hey Ya!,2003,2000s,"hip hop, pop",80,0.727,0.974,0.965,79.526,0.9019171854926377,0.8297
Eminem,Not Afraid,2010,2010s,hip hop,79,0.855,0.954,0.668,114.635,0.9548374345291036,0.8291
Akon,Smack That,2006,2000s,pop,58,0.94,0.743,0.932,118.988,0.7583753335309813,0.8274
Bingo Players,Get Up (Rattle) - Vocal Edit,2013,2010s,"pop, Dance/Electronic",1,0.801,0.985,0.722,127.99,0.8807194386797114,0.8271
Eminem,Cleanin' Out My Closet,2002,2000s,hip hop,71,0.908,0.758,0.87,148.015,0.7787824883881806,0.8267
Calvin Harris,Bounce (feat. Kelis) - Radio Edit,2012,2010s,"hip hop, pop, Dance/Electronic",62,0.779,0.963,0.759,127.941,0.9086372171163158,0.8265
Olly Murs,Heart Skips a Beat (feat. Rizzle Kicks),2011,2010s,"pop, Dance/Electronic",61,0.843,0.881,0.876,110.621,0.818410910168989,0.8264
Ayo & Teo,Rolex,2017,2010s,"hip hop, pop",69,0.804,0.886,0.789,144.946,0.8895147741871726,0.8264
Nelly,Hot In Herre,2002,2000s,"hip hop, pop, R&B",75,0.956,0.745,0.912,107.075,0.7787824883881806,0.8258
Twista,Sunshine (feat. Anthony Hamilton),2004,2000s,"hip hop, pop, R&B",56,0.926,0.888,0.819,98.523,0.7499258820041506,0.8254
Sean Kingston,Fire Burning,2009,2000s,"hip hop, pop, R&B",71,0.839,0.804,0.888,122.973,0.8894653621899397,0.8252
Christina Milian,AM To PM,2001,2000s,"hip hop, pop, R&B",60,0.872,0.868,0.822,105.005,0.8636228876371183,0.825
Eminem,We Made You,2009,2000s,hip hop,63,0.924,0.853,0.67,114.003,0.9541950785650756,0.8246
D12,My Band,2004,2000s,"hip hop, pop, rock",73,0.851,0.849,0.844,120.014,0.8464769245972923,0.8233
Zay Hilfigerrr,Juju on That Beat (TZ Anthem),2016,2010s,set(),57,0.807,0.887,0.78,160.517,0.8213262180057318,0.8233
Baha Men,Who Let The Dogs Out,2000,2000s,R&B,65,0.869,0.887,0.784,129.221,0.7910366637019469,0.8225
Nelly Furtado,Promiscuous,2006,2000s,"hip hop, pop, latin",82,0.808,0.97,0.868,114.328,0.7123233521098923,0.8225
Calvin Harris,Feel So Close - Radio Edit,2012,2010s,"hip hop, pop, Dance/Electronic",79,0.707,0.924,0.919,127.937,0.8732088151003065,0.8218
Britney Spears,Toxic,2003,2000s,pop,81,0.774,0.838,0.924,143.04,0.8202391540666073,0.8211
Christina Aguilera,Come on over Baby (All I Want Is You) - Radio Version,1999,1990s,pop,64,0.829,0.915,0.779,118.903,0.8552722601047533,0.821
Maroon 5,Makes Me Wonder,2007,2000s,pop,62,0.803,0.851,0.881,113.996,0.8936159699575057,0.8209
The Streets,Fit but You Know It,2004,2000s,"hip hop, Dance/Electronic",58,0.68,0.844,0.895,172.302,0.9282043680205554,0.8194
"H ""two"" O",What's It Gonna Be (feat. Platnum),2008,2000s,Dance/Electronic,55,0.733,0.9,0.937,139.61,0.7785354284020161,0.8189
Eminem,Just Lose It,2004,2000s,hip hop,67,0.94,0.633,0.962,121.003,0.837731001087064,0.8188
Chingy,One Call Away,2003,2000s,"hip hop, pop, R&B",61,0.765,0.821,0.962,162.519,0.7208222156339559,0.8165
Vengaboys,Shalala Lala,2000,2000s,pop,58,0.751,0.901,0.973,124.017,0.7269493032908391,0.8162
Black Eyed Peas,Hey Mama,2003,2000s,"hip hop, pop",49,0.86,0.866,0.933,100.15,0.7001185887933591,0.8162
Usher,Pop Ya Collar - Radio Edit,2016,2010s,"hip hop, pop, R&B",26,0.888,0.8,0.866,106.957,0.8187567941496195,0.8159
Olly Murs,Wrapped Up (feat. Travie McCoy),2014,2010s,"pop, Dance/Electronic",0,0.787,0.848,0.947,121.989,0.7815989722304576,0.8157
Chingy,Holidae In,2003,2000s,"hip hop, pop, R&B",61,0.81,0.791,0.948,153.067,0.7216622195869158,0.8151
Olly Murs,Troublemaker (feat. Flo Rida),2012,2010s,"pop, Dance/Electronic",0,0.762,0.863,0.965,106.008,0.8313568534440162,0.8151
Beyoncé,Check On It (feat. Slim Thug),2006,2000s,"pop, R&B",45,0.7,0.887,0.883,166.104,0.8215732779918964,0.8146
Gorillaz,DARE,2005,2000s,hip hop,73,0.76,0.891,0.966,120.264,0.7244787034291926,0.8128
Sak Noel,Loca People - Radio Edit,2011,2010s,Dance/Electronic,49,0.926,0.808,0.701,127.998,0.8580887439470304,0.8127
DJ Casper,Cha Cha Slide - Hardino Mix,2004,2000s,set(),51,0.853,0.911,0.802,131.012,0.681490265836545,0.8118
Justin Timberlake,Like I Love You,2002,2000s,pop,62,0.853,0.811,0.9,114.964,0.7701848008696511,0.8117
Timbaland,Give It To Me,2007,2000s,"hip hop, pop, R&B",70,0.975,0.711,0.815,110.621,0.8207332740389366,0.8117
Snoop Dogg,Beautiful,2005,2000s,"hip hop, pop",67,0.893,0.74,0.963,101.025,0.7697400928945548,0.8115
Junior Senior,Move Your Feet,2002,2000s,pop,67,0.747,0.904,0.846,118.877,0.8840300424943176,0.8113
Daniel Bedingfield,Gotta Get Thru This - D'N'D Radio Edit,2002,2000s,pop,46,0.836,0.762,0.941,133.592,0.7644035971933986,0.811
Meghan Trainor,Lips Are Movin,2015,2010s,pop,70,0.775,0.825,0.95,139.091,0.7467141021840102,0.8103
Kardinal Offishall,Dangerous,2008,2000s,"hip hop, pop, R&B",75,0.949,0.79,0.807,117.002,0.719290443719735,0.81
Jonas Brothers,Sucker,2019,2010s,pop,79,0.842,0.734,0.952,137.958,0.763365945251507,0.81
Bruno Mars,The Lazy Song,2010,2010s,pop,75,0.794,0.711,0.955,174.915,0.7604506374147644,0.8085
Daniel Bedingfield,Gotta Get Thru This - D'N'D Radio Edit,2002,2000s,pop,56,0.838,0.764,0.924,133.592,0.7628224132819448,0.8084
Calvin Harris,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",2017,2010s,"hip hop, pop, Dance/Electronic",79,0.893,0.745,0.872,101.018,0.8602134598280462,0.8081
Regard,Ride It,2019,2010s,"pop, Dance/Electronic",81,0.88,0.751,0.884,117.948,0.8032414270184801,0.808
P!nk,U + Ur Hand,2006,2000s,pop,0,0.709,0.891,0.886,141.04,0.8314062654412492,0.8079
O-Zone,Dragostea Din Tei,2004,2000s,pop,56,0.809,0.965,0.672,130.103,0.8186085581579208,0.8062
Panjabi MC,Mundian to Bach Ke,2003,2000s,"World/Traditional, hip hop",61,0.778,0.879,0.942,98.077,0.7689989129360608,0.8059
Icona Pop,I Love It,2012,2010s,"pop, Dance/Electronic",51,0.71,0.901,0.86,125.953,0.8809170866686431,0.8054
Nelly Furtado,Say It Right,2006,2000s,"hip hop, pop, latin",81,0.872,0.872,0.809,116.948,0.7009585927463188,0.805
DJ Ötzi,Hey Baby (Radio Mix),2010,2010s,"pop, easy listening, Dance/Electronic",58,0.666,0.968,0.834,135.099,0.8557169680798496,0.8045
Missy Elliott,4 My People (feat. Eve),2001,2000s,"hip hop, pop, R&B",49,0.969,0.701,0.905,121.392,0.6428994959976282,0.8041
DJ Pied Piper & The Masters Of Ceremonies,Do You Really Like It? - Radio Edit,2001,2000s,Dance/Electronic,54,0.847,0.877,0.764,131.044,0.7456270382448859,0.8035
Fetty Wap,Trap Queen,2015,2010s,"hip hop, pop",68,0.746,0.873,0.817,148.075,0.8257238857594623,0.8033
Calvin Harris,Let's Go (feat. Ne-Yo),2012,2010s,"hip hop, pop, Dance/Electronic",66,0.71,0.882,0.875,128.016,0.8687617353493429,0.8028
Calvin Harris,Acceptable in the 80's,2007,2000s,"hip hop, pop, Dance/Electronic",57,0.787,0.808,0.942,127.99,0.744144678327898,0.8021
David Guetta,Play Hard (feat. Ne-Yo & Akon),2012,2010s,"hip hop, pop, Dance/Electronic",69,0.691,0.921,0.8,130.072,0.9295384919458444,0.802
Little Mix,Black Magic,2015,2010s,pop,1,0.777,0.896,0.843,111.987,0.7929143195967981,0.8006
